#       time      orderparam
         0      0.27000500
         1      0.25356600
         2      0.25356600
         3      0.25356600
         4      0.25356600
         5      0.25356600
         6      0.25356600
         7      0.25356600
         8      0.25356600
         9      0.25356600
        10      0.25356600
        11      0.25356600
        12      0.25356600
        13      0.25356600
        14      0.25356600
        15      0.25356600
        16      0.25356600
        17      0.25356600
        18      0.25356600
        19      0.25356600
        20      0.25356600
        21      0.25356600
        22      0.25356600
        23      0.25356600
        24      0.25356600
        25      0.25356600
        26      0.27000500
